Pitch #,Inning,Half,Pitching Team,Pitcher #,Pitcher,Batting Team,Batter,Pitch Code,Pitch Type,Count Before,Count After,Recorded At
111,4,top,home,39,Trey Yesavage,away,Jared Young,B,Ball,"=""0-1""","=""1-1""",2026-06-30T00:00:39.717Z
112,4,top,home,39,Trey Yesavage,away,Jared Young,IP,In Play,"=""1-1""","=""1-1""",2026-06-30T00:00:44.896Z
113,4,top,home,39,Trey Yesavage,away,A.J. Ewing,SW,Swinging Strike,"=""0-0""","=""0-1""",2026-06-30T00:00:54.118Z
114,4,top,home,39,Trey Yesavage,away,A.J. Ewing,B,Ball,"=""0-1""","=""1-1""",2026-06-30T00:00:54.602Z
115,4,top,home,39,Trey Yesavage,away,A.J. Ewing,SW,Swinging Strike,"=""1-1""","=""1-2""",2026-06-30T00:00:55.285Z
116,4,top,home,39,Trey Yesavage,away,A.J. Ewing,IP,In Play,"=""1-2""","=""1-2""",2026-06-30T00:00:56.371Z
117,4,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,C,Called Strike,"=""0-0""","=""0-1""",2026-06-30T00:03:12.147Z
118,4,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,C,Called Strike,"=""0-1""","=""0-2""",2026-06-30T00:03:16.126Z
119,4,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,B,Ball,"=""0-2""","=""1-2""",2026-06-30T00:03:27.648Z
120,4,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,F,Foul,"=""1-2""","=""1-2""",2026-06-30T00:03:45.923Z
121,4,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,F,Foul,"=""1-2""","=""1-2""",2026-06-30T00:03:55.903Z
122,4,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,F,Foul,"=""1-2""","=""1-2""",2026-06-30T00:03:56.441Z
123,4,bottom,away,59,Sean Manaea,home,Kazuma Okamoto,SW,Swinging Strike,"=""1-2""","=""1-3""",2026-06-30T00:04:14.338Z
124,4,bottom,away,59,Sean Manaea,home,Ernie Clement,F,Foul,"=""0-0""","=""0-1""",2026-06-30T00:04:37.536Z
125,4,bottom,away,59,Sean Manaea,home,Ernie Clement,SW,Swinging Strike,"=""0-1""","=""0-2""",2026-06-30T00:04:55.391Z
126,4,bottom,away,59,Sean Manaea,home,Ernie Clement,IP,In Play,"=""0-2""","=""0-2""",2026-06-30T00:05:10.575Z
127,4,bottom,away,59,Sean Manaea,home,Brandon Valenzuela,F,Foul,"=""0-0""","=""0-1""",2026-06-30T00:05:43.589Z
128,4,bottom,away,59,Sean Manaea,home,Brandon Valenzuela,B,Ball,"=""0-1""","=""1-1""",2026-06-30T00:06:14.241Z
129,4,bottom,away,59,Sean Manaea,home,Brandon Valenzuela,B,Ball,"=""1-1""","=""2-1""",2026-06-30T00:06:27.688Z
130,4,bottom,away,59,Sean Manaea,home,Brandon Valenzuela,IP,In Play,"=""2-1""","=""2-1""",2026-06-30T00:06:46.188Z
