Pitch #	Inning	Half	Pitching Team	Pitcher #	Pitcher	Batting Team	Batter	Pitch Code	Pitch Type	Count Before	Count After	Recorded At
37	2	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	0-2	0-2	2026-06-28T17:58:17.064Z
38	2	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	0-2	0-2	2026-06-28T17:58:19.696Z
39	2	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	0-2	0-2	2026-06-28T17:58:26.817Z
40	2	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	0-2	0-2	2026-06-28T17:58:27.016Z
41	2	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	0-2	0-2	2026-06-28T17:58:39.227Z
42	2	top	home	32	Tobias Myers	away	Brandon Marsh	C	Called Strike	0-2	0-3	2026-06-28T17:59:09.255Z
43	2	top	home	32	Tobias Myers	away	J.T. Realmuto	C	Called Strike	0-0	0-1	2026-06-28T17:59:41.386Z
44	2	top	home	32	Tobias Myers	away	J.T. Realmuto	SW	Swinging Strike	0-1	0-2	2026-06-28T17:59:57.941Z
45	2	top	home	32	Tobias Myers	away	J.T. Realmuto	SW	Swinging Strike	0-2	0-3	2026-06-28T18:00:32.792Z
46	2	top	home	32	Tobias Myers	away	Bryson Stott	C	Called Strike	0-0	0-1	2026-06-28T18:01:06.834Z
47	2	top	home	32	Tobias Myers	away	Bryson Stott	B	Ball	0-1	1-1	2026-06-28T18:01:23.821Z
48	2	top	home	32	Tobias Myers	away	Bryson Stott	B	Ball	1-1	2-1	2026-06-28T18:01:42.570Z
49	2	top	home	32	Tobias Myers	away	Bryson Stott	F	Foul	2-1	2-2	2026-06-28T18:02:13.792Z
50	2	top	home	32	Tobias Myers	away	Bryson Stott	F	Foul	2-2	2-2	2026-06-28T18:02:39.398Z
51	2	top	home	32	Tobias Myers	away	Bryson Stott	IP	In Play	2-2	2-2	2026-06-28T18:03:06.575Z
52	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	C	Called Strike	0-0	0-1	2026-06-28T18:03:53.704Z
53	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	SW	Swinging Strike	0-1	0-2	2026-06-28T18:04:36.988Z
54	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	F	Foul	0-2	0-2	2026-06-28T18:04:48.459Z
55	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	F	Foul	0-2	0-2	2026-06-28T18:05:14.221Z
56	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	B	Ball	0-2	1-2	2026-06-28T18:05:40.220Z
57	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	F	Foul	1-2	1-2	2026-06-28T18:06:05.517Z
58	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	C	Called Strike	1-2	1-3	2026-06-28T18:06:25.930Z
59	2	bottom	away	44	Jesús Luzardo	home	Mark Vientos	IP	In Play	1-3	1-3	2026-06-28T18:06:45.286Z
69	3	top	home	32	Tobias Myers	away	Justin Crawford	B	Ball	0-0	1-0	2026-06-28T18:14:22.113Z
70	3	top	home	32	Tobias Myers	away	Justin Crawford	B	Ball	1-0	2-0	2026-06-28T18:14:32.038Z
71	3	top	home	32	Tobias Myers	away	Justin Crawford	IP	In Play	2-0	2-0	2026-06-28T18:14:43.651Z
72	3	top	home	32	Tobias Myers	away	Trea Turner	C	Called Strike	0-0	0-1	2026-06-28T18:15:25.507Z
73	3	top	home	32	Tobias Myers	away	Trea Turner	IP	In Play	0-1	0-1	2026-06-28T18:15:27.476Z
74	3	top	home	32	Tobias Myers	away	Kyle Schwarber	IP	In Play	0-0	0-0	2026-06-28T18:16:27.559Z
75	3	top	home	32	Tobias Myers	away	Bryce Harper	B	Ball	0-0	1-0	2026-06-28T18:18:51.645Z
76	3	top	home	32	Tobias Myers	away	Bryce Harper	IP	In Play	1-0	1-0	2026-06-28T18:19:08.491Z
77	3	top	home	32	Tobias Myers	away	Alec Bohm	IP	In Play	0-0	0-0	2026-06-28T18:19:55.761Z
78	3	top	home	32	Tobias Myers	away	Brandon Marsh	B	Ball	0-0	1-0	2026-06-28T18:20:55.851Z
79	3	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	1-0	1-1	2026-06-28T18:21:04.716Z
80	3	top	home	32	Tobias Myers	away	Brandon Marsh	B	Ball	1-1	2-1	2026-06-28T18:21:22.674Z
81	3	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	2-1	2-2	2026-06-28T18:21:44.048Z
82	3	top	home	32	Tobias Myers	away	Brandon Marsh	B	Ball	2-2	3-2	2026-06-28T18:22:09.467Z
83	3	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	3-2	3-2	2026-06-28T18:22:30.003Z
84	3	top	home	32	Tobias Myers	away	Brandon Marsh	F	Foul	3-2	3-2	2026-06-28T18:23:09.792Z
85	3	top	home	32	Tobias Myers	away	Brandon Marsh	IP	In Play	3-2	3-2	2026-06-28T18:23:31.213Z
86	3	top	home	32	Tobias Myers	away	J.T. Realmuto	B	Ball	0-0	1-0	2026-06-28T18:25:42.480Z
87	3	top	home	32	Tobias Myers	away	J.T. Realmuto	C	Called Strike	1-0	1-1	2026-06-28T18:26:28.426Z
88	3	top	home	32	Tobias Myers	away	J.T. Realmuto	SW	Swinging Strike	1-1	1-2	2026-06-28T18:26:28.751Z
89	3	top	home	32	Tobias Myers	away	J.T. Realmuto	IP	In Play	1-2	1-2	2026-06-28T18:27:33.960Z
90	3	bottom	away	44	Jesús Luzardo	home	Tyrone Taylor	C	Called Strike	0-0	0-1	2026-06-28T18:28:21.270Z
91	3	bottom	away	44	Jesús Luzardo	home	Tyrone Taylor	B	Ball	0-1	1-1	2026-06-28T18:28:21.762Z
92	3	bottom	away	44	Jesús Luzardo	home	Tyrone Taylor	IP	In Play	1-1	1-1	2026-06-28T18:28:23.285Z
93	3	bottom	away	44	Jesús Luzardo	home	Luis Torrens	C	Called Strike	0-0	0-1	2026-06-28T18:29:08.196Z
94	3	bottom	away	44	Jesús Luzardo	home	Luis Torrens	IP	In Play	0-1	0-1	2026-06-28T18:29:39.925Z
95	3	bottom	away	44	Jesús Luzardo	home	Luis Torrens	C	Called Strike	0-0	0-1	2026-06-28T18:30:25.236Z
96	3	bottom	away	44	Jesús Luzardo	home	Luis Torrens	C	Called Strike	0-1	0-2	2026-06-28T18:31:41.451Z
97	3	bottom	away	44	Jesús Luzardo	home	Luis Torrens	F	Foul	0-2	0-2	2026-06-28T18:31:58.623Z
98	3	bottom	away	44	Jesús Luzardo	home	Luis Torrens	B	Ball	0-2	1-2	2026-06-28T18:32:17.836Z
99	3	bottom	away	44	Jesús Luzardo	home	Luis Torrens	IP	In Play	1-2	1-2	2026-06-28T18:32:35.912Z
100	3	bottom	away	44	Jesús Luzardo	home	Carson Benge	B	Ball	0-0	1-0	2026-06-28T18:33:06.548Z
101	3	bottom	away	44	Jesús Luzardo	home	Carson Benge	C	Called Strike	1-0	1-1	2026-06-28T18:33:26.719Z
102	3	bottom	away	44	Jesús Luzardo	home	Carson Benge	SW	Swinging Strike	1-1	1-2	2026-06-28T18:33:35.789Z
103	3	bottom	away	44	Jesús Luzardo	home	Carson Benge	F	Foul	1-2	1-2	2026-06-28T18:34:04.367Z
104	3	bottom	away	44	Jesús Luzardo	home	Carson Benge	F	Foul	1-2	1-2	2026-06-28T18:34:26.720Z
105	3	bottom	away	44	Jesús Luzardo	home	Carson Benge	SW	Swinging Strike	1-2	1-3	2026-06-28T18:34:47.293Z
107	4	top	home	32	Tobias Myers	away	Bryson Stott	C	Called Strike	0-0	0-1	2026-06-28T18:36:13.806Z
108	4	top	home	32	Tobias Myers	away	Bryson Stott	SW	Swinging Strike	0-1	0-2	2026-06-28T18:36:14.098Z
109	4	top	home	32	Tobias Myers	away	Bryson Stott	F	Foul	0-2	0-2	2026-06-28T18:36:27.902Z
110	4	top	home	32	Tobias Myers	away	Bryson Stott	F	Foul	0-2	0-2	2026-06-28T18:36:50.392Z
111	4	top	home	32	Tobias Myers	away	Bryson Stott	F	Foul	0-2	0-2	2026-06-28T18:37:24.806Z
112	4	top	home	32	Tobias Myers	away	Bryson Stott	F	Foul	0-2	0-2	2026-06-28T18:37:48.907Z
113	4	top	home	32	Tobias Myers	away	Bryson Stott	SW	Swinging Strike	0-2	0-3	2026-06-28T18:38:12.470Z
114	4	top	home	32	Tobias Myers	away	Derek Hill	F	Foul	0-0	0-1	2026-06-28T18:38:43.120Z
115	4	top	home	32	Tobias Myers	away	Derek Hill	F	Foul	0-1	0-2	2026-06-28T18:39:05.872Z
116	4	top	home	32	Tobias Myers	away	Derek Hill	B	Ball	0-2	1-2	2026-06-28T18:39:32.930Z
117	4	top	home	32	Tobias Myers	away	Derek Hill	IP	In Play	1-2	1-2	2026-06-28T18:39:43.498Z
118	4	top	home	32	Tobias Myers	away	Justin Crawford	B	Ball	0-0	1-0	2026-06-28T18:40:24.277Z
119	4	top	home	32	Tobias Myers	away	Justin Crawford	SW	Swinging Strike	1-0	1-1	2026-06-28T18:40:42.677Z
120	4	top	home	32	Tobias Myers	away	Justin Crawford	IP	In Play	1-1	1-1	2026-06-28T18:41:00.160Z
121	4	bottom	away	44	Jesús Luzardo	home	Juan Soto	B	Ball	0-0	1-0	2026-06-28T18:43:56.664Z
123	4	bottom	away	44	Jesús Luzardo	home	Juan Soto	C	Called Strike	1-0	1-1	2026-06-28T18:44:19.384Z
124	4	bottom	away	44	Jesús Luzardo	home	Juan Soto	B	Ball	1-1	2-1	2026-06-28T18:44:21.773Z
125	4	bottom	away	44	Jesús Luzardo	home	Juan Soto	C	Called Strike	2-1	2-2	2026-06-28T18:44:57.914Z
126	4	bottom	away	44	Jesús Luzardo	home	Juan Soto	B	Ball	2-2	3-2	2026-06-28T18:45:07.564Z
127	4	bottom	away	44	Jesús Luzardo	home	Juan Soto	B	Ball	3-2	4-2	2026-06-28T18:45:23.128Z
128	4	bottom	away	44	Jesús Luzardo	home	Bo Bichette	B	Ball	0-0	1-0	2026-06-28T18:45:56.547Z
129	4	bottom	away	44	Jesús Luzardo	home	Bo Bichette	B	Ball	1-0	2-0	2026-06-28T18:46:16.366Z
130	4	bottom	away	44	Jesús Luzardo	home	Bo Bichette	IP	In Play	2-0	2-0	2026-06-28T18:46:30.139Z
131	4	bottom	away	44	Jesús Luzardo	home	Eric Wagaman	C	Called Strike	0-0	0-1	2026-06-28T18:48:04.118Z
132	4	bottom	away	44	Jesús Luzardo	home	Eric Wagaman	SW	Swinging Strike	0-1	0-2	2026-06-28T18:48:20.232Z
133	4	bottom	away	44	Jesús Luzardo	home	Eric Wagaman	B	Ball	0-2	1-2	2026-06-28T18:48:41.934Z
134	4	bottom	away	44	Jesús Luzardo	home	Eric Wagaman	SW	Swinging Strike	1-2	1-3	2026-06-28T18:49:00.868Z
135	4	bottom	away	44	Jesús Luzardo	home	Francisco Alvarez	B	Ball	0-0	1-0	2026-06-28T18:49:44.008Z
136	4	bottom	away	44	Jesús Luzardo	home	Francisco Alvarez	B	Ball	1-0	2-0	2026-06-28T18:50:52.509Z
137	4	bottom	away	44	Jesús Luzardo	home	Francisco Alvarez	C	Called Strike	2-0	2-1	2026-06-28T18:50:55.566Z
138	4	bottom	away	44	Jesús Luzardo	home	Francisco Alvarez	B	Ball	2-1	3-1	2026-06-28T18:51:28.296Z
139	4	bottom	away	44	Jesús Luzardo	home	Francisco Alvarez	F	Foul	3-1	3-2	2026-06-28T18:51:28.830Z
140	4	bottom	away	44	Jesús Luzardo	home	Francisco Alvarez	SW	Swinging Strike	3-2	3-3	2026-06-28T18:52:03.431Z
141	4	bottom	away	44	Jesús Luzardo	home	Mark Vientos	C	Called Strike	0-0	0-1	2026-06-28T18:52:28.035Z
142	4	bottom	away	44	Jesús Luzardo	home	Mark Vientos	C	Called Strike	0-1	0-2	2026-06-28T18:52:54.447Z
143	4	bottom	away	44	Jesús Luzardo	home	Mark Vientos	B	Ball	0-2	1-2	2026-06-28T18:53:04.755Z
144	4	bottom	away	44	Jesús Luzardo	home	Mark Vientos	SW	Swinging Strike	1-2	1-3	2026-06-28T18:53:20.822Z
145	5	top	home	34	Kodai Senga	away	Trea Turner	C	Called Strike	0-0	0-1	2026-06-28T18:56:23.794Z
146	5	top	home	34	Kodai Senga	away	Trea Turner	B	Ball	0-1	1-1	2026-06-28T18:58:08.830Z
147	5	top	home	34	Kodai Senga	away	Trea Turner	IP	In Play	1-1	1-1	2026-06-28T18:58:09.756Z
148	5	top	home	34	Kodai Senga	away	Kyle Schwarber	C	Called Strike	0-0	0-1	2026-06-28T18:58:20.478Z
149	5	top	home	34	Kodai Senga	away	Kyle Schwarber	SW	Swinging Strike	0-1	0-2	2026-06-28T18:58:20.876Z
